dataset_label,name,full_name,precision,recall,f1,support,correct,misclassified
1,lexical,Lexical Ambiguity,0.36585365853658536,0.3191489361702128,0.3409090909090909,47,15,32
2,syntactic,Syntactic Ambiguity,0.23134328358208955,0.5166666666666667,0.31958762886597936,60,31,29
3,semantic,Semantic Ambiguity,0.23783783783783785,0.7333333333333333,0.35918367346938773,60,44,16
4,syntax,Syntax Ambiguity,0.391304347826087,0.5625,0.46153846153846156,48,27,21
5,pragmatic,Pragmatic Ambiguity,0.4845360824742268,0.573170731707317,0.5251396648044693,82,47,35
6,clean,Clean,0.8431372549019608,0.337696335078534,0.4822429906542056,382,129,253
,macro,Macro average,0.4256687441931312,0.5070860004926773,0.4147669183735991,679,293,386
